('RSSMRA80A01H501Z', 'Mario', 'Rossi', '0', '+', '+393315849201'),
('VRDLGU85B02F205X', 'Luigi', 'Verdi', 'A', '+', '3402938475'),
('BNCLRA90C03L219Y', 'Laura', 'Bianchi', '0', '+', '+393475839201'),
('GLLAND95D04M312W', 'Andrea', 'Gialli', 'B', '+', '3384950291'),
('NREFRC88E05H501T', 'Francesca', 'Neri', 'A', '+', '+393394857261'),
('BLUSTF79F06D205Q', 'Stefano', 'Blu', '0', '-', '3459827364'),
('RSALSS92G07M312R', 'Alessia', 'Rosa', 'A', '+', '+393338475612'),
('MRNMTT87H08F205P', 'Matteo', 'Marrone', '0', '+', '3318475629'),
('VLELNA93I09L219S', 'Elena', 'Viola', 'AB', '+', '+393495867123'),
('AZZSMN91L10H501U', 'Simone', 'Azzurri', '0', '+', '3209847561'),
('GLIGRV83M11D205V', 'Giovanni', 'Gravina', 'A', '-', '+393284756192'),
('CLTANG94N12M312X', 'Angela', 'Celeste', '0', '+', '3475869201'),
('BRNFAB86O13F205Y', 'Fabio', 'Bruno', 'A', '+', '+393348576920'),
('ARGCHR82P14H501Z', 'Chiara', 'Argento', 'B', '+', '3804958671'),
('RBNRCC89Q15D205W', 'Riccardo', 'Rubino', '0', '+', '+393384756291'),
('CRLELS85R16M312V', 'Elisa', 'Corallo', 'A', '+', '3495867123'),
('ORODVD87S17H501T', 'Davide', 'Oro', '0', '+', '+393409827364'),
('AMBSRA90T18F205U', 'Sara', 'Ambra', '0', '-', '3338475612'),
('SMRGIO84U19L219X', 'Giorgia', 'Smeraldo', 'A', '+', '+393318475629'),
('TPTBRC92V20D205Y', 'Beatrice', 'Topazio', 'A', '+', '3475839201'),
('PLRMCO81W21M312Z', 'Marco', 'Perla', '0', '+', '+393384950291'),
('ZFFSLV95X22H501V', 'Silvia', 'Zaffiro', 'A', '-', '3394857261'),
('DMNLBR88Y23F205T', 'Alberto', 'Diamante', '0', '+', '+393459827364'),
('QZRMRT89Z24D205U', 'Martina', 'Quarzo', 'B', '-', '3338475612'),
('GRNDNL91A25M312X', 'Daniele', 'Granato', 'A', '+', '+393318475629'),
('GIDVLT92B26H501Y', 'Valentina', 'Giada', '0', '+', '3495867123'),
('OPLLCN87C27F205Z', 'Luciano', 'Opale', 'A', '+', '+393209847561'),
('TRLBRB94D28D205W', 'Barbara', 'Tormalina', '0', '+', '3284756192'),
('AMTSFN96E29M312V', 'Stefania', 'Ametista', 'A', '+', '+393475869201'),
('BRLANT89F30H501T', 'Antonia', 'Berillo', '0', '+', '3348576920'),
('PVDGNN79F31D205X', 'Luca', 'Vernaccia', '0', '-', '+393804958671'),
('TSMLNI80G32M312Y', 'Marta', 'Simone', 'A', '+', '3384756291'),
('PNGTLN81H33L219Z', 'Paolo', 'Gallo', 'B', '+', '+393495867123'),
('DRVGLL84I34M312W', 'Riccardo', 'Crisci', '0', '+', '3409827364'),
('QZCHRM82L35F205V', 'Valeria', 'Sanna', 'A', '+', '+393338475612'),
('TBNRRL89M36D205W', 'Francesca', 'Diletti', '0', '+', '3318475629'),
('MRLTLL80N37H501X', 'Martina', 'Di Luigi', 'A', '-', '+393475839201'),
('PNGRMV81O38L219T', 'Giovanna', 'Mangione', '0', '+', '3384950291'),
('GNNLRL85P39M312S', 'Elena', 'Lombardi', 'A', '+', '+393394857261'),
('NSGLVR84Q40F205Y', 'Alessandro', 'Giusti', '0', '+', '3459827364'),
('MRRLCL82R41D205U', 'Silvio', 'Ricci', 'AB', '+', '+393338475612'),
('BNGRPS91S42M312Y', 'Barbara', 'Sartori', '0', '+', '3318475629'),
('NRDSDN85T43H501Z', 'Andrea', 'Neri', 'A', '+', '+393495867123'),
('RSPMRN81U44L219S', 'Alberto', 'Russo', '0', '+', '3209847561'),
('FMRBLM92V45M312T', 'Carla', 'Ferrarelli', 'A', '+', '+393284756192'),
('DLDCCL94W46F205Y', 'Lucia', 'Della Rosa', '0', '-', '3475869201'),
('ALPLRC90X47D205U', 'Erica', 'Palladino', 'A', '+', '+393348576920'),
('RDGSBR80Y48M312Z', 'Giuseppe', 'Borghese', 'B', '+', '3804958671'),
('TMRBMT81Z49H501V', 'Lucia', 'Mazzola', '0', '+', '+393384756291'),
('GRVZMC88A50L219P', 'Giorgia', 'Zavatti', 'A', '+', '3495867123'),
